Mês/Ano,Razão Social,CNPJ,Região,Estado,Município,Produto,Produção
06/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3140112
06/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,15133069
06/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,939400
05/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,58458520
05/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,4608536
05/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,58121870
05/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3628817
04/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,52856685
04/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,5051047
04/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,55963201
04/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3400337
04/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,2409455
04/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,213210
03/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,54039142
03/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,3788522
03/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,30284614
03/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A PREMIUM,1035894
03/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,2579528
03/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,23256284
03/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,3269805
03/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,984850
02/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,48253941
02/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,4341628
02/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,48133080
02/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A PREMIUM,265318
02/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3220283
02/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,22891364
02/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,697560
02/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1245041
01/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,54872097
01/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,4574465
01/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,48277826
01/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,4277392
01/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,25472565
01/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,1081649
01/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,2300860
12/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,54142533
12/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,5553530
12/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,49010980
12/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A PREMIUM,65531
12/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,4018725
12/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,21915659
12/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,825821
12/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1812700
11/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,48334880
11/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,5407597
11/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,47275436
11/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3521561
11/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,23316113
11/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,781906
11/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1030830
10/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,49687156
10/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,4272951
10/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,45810605
10/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,2833595
10/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,24240714
10/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,1186332
10/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1287339
09/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,45518974
09/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,1535236
09/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,28423406
09/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3311408
09/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,24655588
09/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,753288
09/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1299319
08/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,43020822
08/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,1929858
08/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,50111146
08/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3145377
08/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,23662040
08/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,836461
08/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1310040
07/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,4781420
07/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,1966286
07/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,47431176
07/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3147800
07/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,23885058
07/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,577012
07/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1627610
06/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,43350427
06/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,4131886
06/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,39746966
06/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,2137152
06/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,20294149
06/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,309253
06/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1367850
05/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,42310969
05/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,2847095
05/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,37565517
05/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,2067873
05/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,20021731
05/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,265819
05/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,948770
04/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,28843274
04/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,1265964
04/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,19588350
04/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,180066
04/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1929050
03/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,42066720
03/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,1228589
03/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,41703972
03/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,2521011
03/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,24639539
03/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,311913
03/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,2136830
02/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,40055578
02/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,2428357
02/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,41263193
02/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,2713698
02/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,24616832
02/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1396180
01/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,39188000
01/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,2352413
01/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,36764092
01/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,2344487
01/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,23429837
01/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,274383
01/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1653690
12/2019,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,1861883
12/2019,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,42581485
12/2019,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,2748913
12/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,23936821
12/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,306146
12/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1331960
11/2019,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,20682260
11/2019,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,1314398
11/2019,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,45050855
11/2019,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3004551
11/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,25432608
11/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,308441
11/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,932280
10/2019,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,47378207
10/2019,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,1863430
10/2019,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,49625788
10/2019,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3884763
10/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,27097576
10/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,310197
10/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,358832
09/2019,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,40852708
09/2019,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,2572928
09/2019,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3164404
09/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,25106256
09/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,402805
08/2019,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,46507665
08/2019,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,3007685
08/2019,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,42169837
08/2019,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3010896
08/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,398598
07/2019,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,43288767
07/2019,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,1859686
07/2019,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,45586685
07/2019,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,2972052
07/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,23266695
07/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,403211
07/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1125510
06/2019,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,43990275
06/2019,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,2104193
06/2019,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,50913152
06/2019,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3920687
06/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,20882164
06/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,397614
06/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1120400
05/2019,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,63366559
05/2019,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,2306856
05/2019,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,49763373
05/2019,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,4350656
05/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,24740792
05/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1273350
04/2019,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,44906999
04/2019,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,1837213
04/2019,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,46356943
04/2019,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3324568
04/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,24942303
04/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,43932
04/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1127710
03/2019,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,46590460
03/2019,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,2523211
03/2019,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,50265228
03/2019,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,4712561
03/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,23586464
03/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1188230
02/2019,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,48248660
02/2019,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,2095952
02/2019,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,44618251
02/2019,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,6635328
02/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,18944192
02/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1229610
01/2019,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,43995720
01/2019,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,727334
01/2019,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,51080888
01/2019,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,2022640
01/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,17120563
01/2019,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,2784820
